hotel_name,street,city,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,overall_ratingsource
the gem hotel midtown west,449 w. 36th street,new york city,65,4.137931034,3.913793103,3.775862069,3.620689655,3.844827586,3.85862069
city club hotel,55 west 44th street,new york city,113,4.448275862,3.689655172,3.896551724,4.586206897,3.465517241,4.017241379
candlewood suites new york city times square,339 w. 39th street,new york city,20,3.882352941,3.588235294,3.058823529,3.588235294,3.705882353,3.564705882
envoy club,377 east 33rd street,new york city,83,3.731707317,4.024390244,3.341463415,3.731707317,3.804878049,3.726829268
aka united nations,234 east 46th street,new york city,7,4.2,4.6,4.2,4.4,4,4.28
milford plaza hotel,700 8th avenue,new york city,348,3.279069767,2.803986711,3.42192691,4.707641196,3.531561462,3.548837209
holiday inn manhattan downtown soho,138 lafayette street,new york city,179,3.744897959,3.346938776,3.734693878,3.897959184,3.571428571,3.659183673
la quinta manhattan,17 west 32nd st.,new york city,346,3.643678161,3.270114943,3.494252874,4.379310345,3.75862069,3.709195402
empire hotel,44 west 63rd street,new york city,286,4.053719008,3.425619835,3.301652893,4.425619835,3.181818182,3.67768595
carvi hotel new york,155 east 55th street,new york city,10,4.625,4.25,4,4.375,4,4.25
carlton arms,160 east 25th street,new york city,113,3.333333333,3.126984127,3.396825397,4.253968254,4.079365079,3.638095238
hudson hotel,356 west 58th street,new york city,339,3.803986711,2.584717608,3.451827243,4.305647841,3.023255814,3.433887043
woogo central park,240 west 73rd street,new york city,163,2.965517241,3.137931034,2.620689655,4.24137931,3.344827586,3.262068966
astor on the park,465 central park west,new york city,343,3.840182648,3.01369863,3.383561644,3.315068493,3.547945205,3.420091324
hotel wales,1295 madison avenue,new york city,89,3.745098039,3.411764706,3.745098039,4.039215686,3.254901961,3.639215686
the jane,113 jane street,new york city,51,3.777777778,3.311111111,3.955555556,4.311111111,4.066666667,3.884444444
dylan hotel,52 east 41st street,new york city,139,3.958333333,3.472222222,3.777777778,4.444444444,3.444444444,3.819444444
the helmsley carlton house,680 madison ave.,new york city,7,4,3.666666667,4,4.666666667,4,4.066666667
amsterdam court hotel,226 west 50th street,new york city,334,3.423312883,2.773006135,3.208588957,4.515337423,3.257668712,3.435582822
eurostars wall street,129 front st,new york city,10,4,4,3.75,4.625,4.125,4.1
